date,store,product,category,units_sold,unit_price,discount_applied,payment_method
2022-12-29,Port Harcourt Outlet,Rice-5 KG,House hold,81,7304.58,,pos
2024-08-14,Abuja Central,Cooking Oil 1 Liter,personal care,30,3901.29,0.05,cash
2024-11-16,Lagos Mall,Detergent-2 KG,Household,123,7793.67,0.05,cash
2023-04-12,lagos mall,Soap Bar,grocery,72,7717.25,0.05,Transfer
2020-04-12,Lagos Mall,Soap-Bar,Personal Care,78,6151.3,0.05,POS
2022-01-20,Lagos Mall,rice 5kg,Groceries,81,6265.78,0.15,
2024-12-25,Lagos Mall,Soap Bar,Personal Care,117,2631.5,0.0,Cash
2021-07-05,lagos mall,Cooking Oil 1 Liter,grocery,69,5567.21,,Cash
,Lagos Mall,Detergent-2 KG,House hold,73,8613.3,0.0,Transfer
2023-09-07,Lagos Mall,Detergent 2kg,Groceries,142,8649.02,0.15,Transfer
2021-07-24,Ibadan Plaza,Sugar 1 KG,grocery,85,1058.64,0.0,pos
2022-02-18,Lagos Mall,Sugar 1 KG,Groceries,28,4070.78,,cash
2024-05-28,Abuja Central,Toothpaste,Personal Care,104,2792.72,,Transfer
2022-01-24,lagos mall,Tooth paste,Groceries,105,6957.01,0.15,Transfer
2021-12-22,Abuja Central,rice 5kg,House hold,51,4655.3,,Transfer
2024-03-05,Port Harcourt Outlet,Toothpaste,grocery,113,7473.33,0.05,POS
2020-06-27,Lagos Mall,Cooking Oil 1 Liter,Household,139,5401.37,0.05,Cash
2023-04-25,lagos mall,Soap Bar,Personal Care,124,1050.26,,cash
2020-08-02,lagos mall,Sugar 1kg,grocery,35,6383.76,0.0,pos
2023-11-26,Ibadan Plaza,Detergent-2 KG,Household,6,2515.88,0.0,pos
2024-04-29,Lagos Mall,Rice 5kg,House hold,91,5032.75,0.0,Cash
2022-07-03,Ibadan Plaza,Cooking Oil 1 Liter,personal care,73,5102.09,,Transfer
2022-10-09,Abuja Central,Soap-Bar,Household,6,4900.01,0.15,POS
2020-05-24,Ibadan Plaza,Rice 5kg,personal care,15,6516.64,0.05,
2023-06-01,Port Harcourt Outlet,Toothpaste,grocery,104,511.41,0.1,
2024-12-13,Lagos Mall,Tooth paste,Household,1,6641.31,0.05,pos
2022-08-16,Port Harcourt Outlet,Rice 5kg,Groceries,104,6817.53,0.0,pos
2023-07-27,Abuja Central,Rice-5 KG,House hold,90,5832.94,0.05,cash
2023-07-12,Port Harcourt Outlet,Cooking Oil 1 Liter,Personal Care,71,3827.34,,pos
2023-10-19,Abuja Central,Toothpaste,personal care,31,1140.91,0.05,pos
2022-09-03,lagos mall,Detergent 2kg,grocery,108,4093.86,0.15,Transfer
2020-01-06,Ibadan Plaza,Rice 5kg,grocery,43,5019.35,0.05,POS
,Ibadan Plaza,rice 5kg,Household,44,2605.04,0.15,
2023-06-08,lagos mall,Soap Bar,grocery,149,6336.47,0.05,Cash
2022-08-21,lagos mall,Sugar 1kg,Personal Care,54,8828.74,0.1,
2024-11-15,Ibadan Plaza,Rice 5kg,Household,69,8933.28,,pos
2023-02-02,Abuja Central,Rice 5kg,personal care,-5,3875.23,0.05,Cash
,Abuja Central,Tooth paste,Groceries,86,6783.6,0.0,cash
2020-05-13,Ibadan Plaza,Sugar 1kg,personal care,22,896.15,0.1,POS
2021-03-06,Port Harcourt Outlet,Cooking Oil 1 Liter,House hold,3,4930.61,0.1,
2022-11-29,Abuja Central,Soap Bar,House hold,21,3345.87,0.15,POS
2024-06-15,Port Harcourt Outlet,Cooking Oil 1L,personal care,17,5698.94,0.1,Cash
2021-11-04,lagos mall,Rice-5 KG,House hold,26,8483.79,0.05,Transfer
2020-03-27,Abuja Central,Tooth paste,personal care,125,2226.83,0.15,Transfer
,Lagos Mall,Toothpaste,Personal Care,60,2799.63,0.15,pos
2023-10-15,Ibadan Plaza,Sugar 1 KG,Personal Care,118,6966.34,0.0,POS
2022-09-10,Ibadan Plaza,Cooking Oil 1L,grocery,130,4313.68,0.15,pos
2020-01-18,Port Harcourt Outlet,Soap-Bar,Household,15,7346.59,0.15,
2023-09-24,lagos mall,rice 5kg,House hold,4,2790.61,0.1,Transfer
2022-12-15,Lagos Mall,Cooking Oil 1 Liter,Personal Care,102,6724.53,0.0,
2024-11-20,Abuja Central,Cooking Oil 1 Liter,Personal Care,0,1920.48,0.15,pos
2022-06-06,Port Harcourt Outlet,Cooking Oil 1L,grocery,7,8087.05,0.15,Cash
2022-12-25,Ibadan Plaza,Sugar 1kg,personal care,-8,8767.97,,cash
2023-03-06,Lagos Mall,Cooking Oil 1L,Household,39,1313.71,0.0,
2023-08-28,Abuja Central,Detergent-2 KG,Personal Care,90,4887.19,0.1,cash
2022-08-11,Ibadan Plaza,Soap Bar,grocery,119,8556.84,,Cash
2024-09-20,Ibadan Plaza,Sugar 1 KG,grocery,17,1831.31,0.05,POS
2021-02-13,Abuja Central,Detergent-2 KG,grocery,48,6733.5,0.05,Transfer
2021-04-02,Port Harcourt Outlet,Soap Bar,Groceries,99,3821.91,0.1,Cash
2022-10-08,Ibadan Plaza,rice 5kg,Household,71,691.72,0.15,cash
2022-01-05,Lagos Mall,Toothpaste,Groceries,98,2914.55,0.1,
2021-07-11,Abuja Central,Sugar 1kg,Groceries,-2,2433.3,0.15,Cash
2021-07-07,lagos mall,Detergent-2 KG,House hold,47,6523.11,0.15,Transfer
2020-04-17,Lagos Mall,Tooth paste,Groceries,92,5334.83,0.1,POS
2023-06-29,Abuja Central,rice 5kg,personal care,-3,5668.7,0.05,pos
2024-12-04,Abuja Central,Sugar 1kg,Personal Care,62,1091.31,0.1,cash
2020-12-14,Lagos Mall,Rice-5 KG,Groceries,100,8854.85,0.1,cash
2024-02-05,lagos mall,Toothpaste,Personal Care,-1,4317.02,0.15,POS
2022-02-28,Lagos Mall,Detergent-2 KG,personal care,7,253.98,0.1,pos
2024-08-24,Port Harcourt Outlet,rice 5kg,personal care,48,5141.2,0.05,Transfer
2024-12-19,Abuja Central,Rice-5 KG,grocery,50,6551.4,,POS
2021-10-23,Abuja Central,Detergent 2kg,Household,4,6465.6,0.05,
2021-11-05,Ibadan Plaza,Soap Bar,Household,17,4529.18,0.0,POS
2023-10-09,Ibadan Plaza,Soap Bar,Groceries,8,1961.18,0.15,POS
2022-10-27,Lagos Mall,Soap Bar,Personal Care,57,6548.89,0.15,Transfer
2020-01-15,Lagos Mall,Tooth paste,Groceries,65,8856.77,0.1,Transfer
2022-02-21,Abuja Central,Tooth paste,Household,142,4787.03,0.0,cash
2023-04-06,Port Harcourt Outlet,Cooking Oil 1 Liter,Household,77,8114.66,0.1,POS
2023-03-21,Ibadan Plaza,Cooking Oil 1L,House hold,74,8731.67,0.1,
2021-11-26,Port Harcourt Outlet,Sugar 1kg,grocery,62,2375.28,0.1,cash
2022-12-14,Lagos Mall,Soap Bar,House hold,24,2880.88,,POS
2022-11-25,Lagos Mall,Cooking Oil 1L,Groceries,69,8561.79,,POS
2022-04-20,Abuja Central,Rice 5kg,grocery,119,4885.14,0.1,POS
2022-06-23,Lagos Mall,Detergent 2kg,Groceries,12,1630.15,0.0,pos
2023-12-05,Port Harcourt Outlet,Cooking Oil 1 Liter,personal care,99,6570.2,0.1,POS
2021-05-25,Port Harcourt Outlet,Tooth paste,grocery,52,1619.74,0.0,cash
2024-07-03,Lagos Mall,Soap-Bar,Groceries,8,5143.91,0.05,
2024-02-19,Ibadan Plaza,Detergent-2 KG,Household,76,767.54,,Transfer
2021-08-03,lagos mall,Soap Bar,Household,83,7150.03,0.1,Cash
2020-04-11,Ibadan Plaza,Rice-5 KG,grocery,2,8600.42,,POS
2023-12-19,Port Harcourt Outlet,Detergent-2 KG,grocery,92,4005.13,0.1,
2024-06-21,Lagos Mall,rice 5kg,Household,131,922.4,0.1,
2022-05-22,Ibadan Plaza,Detergent 2kg,Personal Care,35,7239.35,,POS
2024-04-20,Port Harcourt Outlet,rice 5kg,grocery,98,4535.35,0.0,POS
2020-06-07,Port Harcourt Outlet,Tooth paste,Personal Care,-3,3863.03,0.15,
2022-10-21,Lagos Mall,Soap Bar,House hold,132,2956.97,0.05,cash
2023-11-24,Port Harcourt Outlet,Soap-Bar,personal care,16,4451.56,0.15,cash
2020-12-28,Lagos Mall,Soap-Bar,House hold,31,6631.67,0.0,Cash
2023-03-24,Ibadan Plaza,rice 5kg,grocery,109,4301.32,,POS
2023-03-09,Ibadan Plaza,Cooking Oil 1L,Personal Care,69,6316.64,0.15,
2024-09-23,Lagos Mall,Detergent 2kg,Household,21,585.52,0.1,POS
2022-02-15,Ibadan Plaza,Detergent 2kg,personal care,140,1590.85,0.15,Cash
2020-08-15,Port Harcourt Outlet,Soap-Bar,grocery,93,2751.26,0.05,POS
2024-06-04,Ibadan Plaza,Soap Bar,Personal Care,46,6323.34,0.05,POS
2022-07-27,Port Harcourt Outlet,Detergent-2 KG,personal care,136,5011.33,0.05,POS
2022-05-20,lagos mall,Soap-Bar,grocery,98,2698.15,,pos
2023-01-17,lagos mall,Cooking Oil 1 Liter,grocery,3,1615.51,0.0,Cash
2024-06-05,Lagos Mall,Detergent-2 KG,House hold,54,7562.62,,pos
2024-05-11,Abuja Central,Sugar 1 KG,Household,52,3169.68,0.1,
2023-11-18,Abuja Central,Toothpaste,personal care,14,1446.81,0.0,Transfer
2024-11-23,Lagos Mall,Sugar 1kg,Personal Care,26,7924.42,0.15,
2020-07-19,Ibadan Plaza,Sugar 1kg,Personal Care,139,8886.15,0.15,Cash
2024-03-14,Abuja Central,Cooking Oil 1 Liter,grocery,148,2567.43,0.0,
2020-07-04,lagos mall,Rice 5kg,Groceries,105,2302.73,0.0,Transfer
2022-08-13,Port Harcourt Outlet,Rice 5kg,grocery,106,6915.12,0.1,pos
2022-12-02,lagos mall,Soap-Bar,Groceries,42,6843.65,0.15,Cash
2023-04-30,Lagos Mall,Tooth paste,House hold,149,6239.9,0.15,cash
2023-08-14,lagos mall,Soap Bar,Personal Care,82,4131.41,0.15,Transfer
2022-07-26,Abuja Central,Toothpaste,Groceries,-3,8570.92,0.0,Transfer
2022-06-26,lagos mall,Cooking Oil 1L,personal care,122,5475.96,0.0,Transfer
2021-12-21,lagos mall,Sugar 1kg,personal care,49,8915.61,0.1,cash
2024-12-08,Port Harcourt Outlet,Tooth paste,Groceries,68,7103.52,0.15,
2024-02-04,Ibadan Plaza,Rice 5kg,House hold,104,8730.38,0.0,Cash
